name,x86_64-linux,aarch64-linux,x86_64-darwin,aarch64-darwin
netifd,324539380,,,
nexuiz,,324539608,,
nfft,324539646,,,
nip2,,324539930,,
node2nix,324541274,,,
nodePackages.semver,324541277,324541273,,
nodePackages_latest.semver,324541291,,,
notify-osd-customizable,324541544,,,
npiet,324541690,,,
ntttcp,324541923,324541922,,
numdiff,,324542000,,
numr,,324542022,324542027,324542023
nuweb,324543141,324543465,,
nvramtool,,324542249,,
nxpmicro-mfgtools,324542327,324542328,,
nylon,,324542351,,
obitools3,324542439,324542437,,
obs-studio-plugins.obs-color-monitor,,324542561,,
ocamlPackages.janeStreet.janestreet_cpuid,,324544616,,
ocamlPackages.magic-trace,,324545417,,
ocamlPackages.mirage-crypto-rng,,,324545589,
ocamlPackages_latest.magic-trace,,324550495,,
ocamlPackages_latest.mirage-crypto-rng,,,324550685,
ocamlPackages_latest.stog,,,,324552281
odp-dpdk,324553234,,,
oletools,,324553390,,
ome_zarr,324553464,324553446,,324553454
onnxruntime,,,324553574,324553573
open-policy-agent,,,,324553681
opendune,324553936,,,
openems,324554016,324553979,,
openmodelica.omcompiler,324554211,324554210,,
openmvs,324554245,,,
opensaml-cpp,,324554394,,
ophcrack,324554732,324554729,,
osdlyrics,324554947,,,
osmo,,324554985,,
otpw,,324555110,,
owl,324555203,,,
p4c,,324555287,,
pam_dp9ik,324555471,,,
pam_xdg,,324555507,,
paml,,324555519,,
parsedmarc,,324556459,,
paxtest,324556370,,,
pdfding,,324556575,,
pdftoipe,324556627,,,
pe-parse,324556679,,,
perf_data_converter,324556848,,,
perl5Packages.MathPari,324560728,324560724,,
perl5Packages.NetPatricia,,324561577,,
perl5Packages.SDL,324562447,324562419,324562473,324562430
perl5Packages.SessionToken,324562486,,,
perlPackages.MathPari,,324568317,,
perlPackages.SDL,324570094,324570067,324570102,324569978
perlPackages.TestLWPUserAgent,,,,324570758
perlPackages.libapreq2,324571905,,,
perseus,324572003,,,
petidomo,324572037,324572034,,
phart,324572287,324572286,,
phrasendrescher,324574699,324574696,,
picoc,324574764,324574762,,
picolibc,,324574792,,
pidginPackages.purple-lurch,324574860,324574859,,
piglit,,324574888,,
pijuice,,324574902,,
pilot-link,324574933,324574931,,
pkgsRocm.ieda,324575427,,,
pkgsRocm.ior,324575430,,,
pkgsRocm.migrate,324575464,,,
pkgsRocm.openems,324575490,,,
pkgsRocm.python3Packages.dask-mpi,324575568,,,
pkgsRocm.python3Packages.hyper-connections,324575642,,,
pkgsRocm.python3Packages.pandera,324575798,,,
